,0
jiu,328
sua,363
siyeon,386
handong,232
yoohyeon,377
dami,338
gahyeon,156
heejin,331
hyunjin,151
haseul,101
yeojin,314
vivi,392
kimlip,234
jinsoul,362
choerry,357
yves,179
chuu,361
gowon,178
oliviahye,331
